,file_id,R_squared,mean_curvetrue_change_rate,mean_slope_abs,mean_triangle_area,label
0,13_5_right,0.6900995895604348,13.375783634627002,0.8946702750032623,0.00022908482977927391,1
1,15_1_right,0.924361256787385,21.058634666061355,1.391576527648813,8.955618427069058e-05,1
2,15_3_right,0.598644851442784,19.10188814716307,2.9690564021970527,0.00012255256558641974,1
3,15_5_right,0.6674454163105131,21.15507411645461,1.9451294579670961,0.0005279648335203891,1
4,15_7_right,0.30809748584167235,32.55126256025843,1.606991115736536,0.0009420653292181082,1
5,15_9_right,0.5330493313951956,45.91187826234382,3.5288284631360125,0.00046031950160036687,1
6,17_1_left,0.9937109586417122,24.376360122829144,0.7351451863548654,3.73585390946502e-05,1
7,17_1_right,0.9011292672718658,20.942915052581792,2.3061267543825696,3.340698653198635e-05,1
8,17_3_left,0.9521704841122978,30.785813102820153,1.1656242121867701,8.277216610549931e-05,1
9,17_5_left,0.9833863027555417,26.63005239212643,1.556455700721065,5.02389267922894e-05,1
10,18_3_right,0.973892716412214,63.3560622750446,0.9788778774127338,0.0005947252229080934,1
11,18_5_right,0.9625612780985193,49.00302493216013,3.369100375660734,0.0006246595860566454,1
12,18_7_right,0.9819407047307717,14.955488190394764,2.019830305201705,0.00029335455246913626,1
13,30_1_left,0.8411632897544021,58.013063372329995,0.9499949394640818,0.0006924350565843637,1
14,30_3_left,0.2188176594392889,36.69603619694314,1.1239974993891169,0.00021122685185185187,1
15,30_5_left,0.32924153071980256,94.50136571362543,1.1579417126268698,0.00032876508136924843,1
16,30_7_left,0.5109692141589144,38.99047856511483,0.9847101972101981,0.00032999889770723154,1
17,31_1_left,0.9930188144671319,36.93710876885261,2.1005996255996293,3.5338434499314044e-05,1
18,31_3_left,0.9613243762875999,45.6027739020538,3.317982783500031,0.00020785108024691336,1
19,36_11_right,0.8564608380212765,33.791787593131986,1.3220011596836037,0.000328827711640212,1
20,36_13_right,0.918565531709662,26.209339345419487,0.7177930933138884,8.198302469135775e-05,1
21,37_1_left,0.9323289823572732,44.700713596019206,1.2437566137566145,4.011015325670494e-05,1
22,37_3_left,0.9272150926202394,72.12680623080863,0.9782580468626975,0.0001662457912457909,1
23,37_4_left,0.7026379043990915,81.88908825280392,2.7372357018933915,0.0004536193094135806,1
24,37_5_left,0.9254526285656748,186.5664377221099,1.5280174252259515,0.0004038828729859803,1
25,37_6_left,0.49937495555362416,70.08850787094663,1.3816396936061237,0.00035232297602089265,1
26,37_7_left,0.78984122197744,143.24648913008178,1.9472265743488548,0.0003213151378122306,1
27,38_1_left,0.9175603327044565,33.03875951037343,0.7317899620464356,0.0015354938271604924,1
28,38_4_left,0.7505830460228149,158.12716423729992,1.69344877344879,0.002582258597883607,1
29,3_1_right,0.8260187222671048,22.927310277984468,0.6743089375901891,4.822530864197544e-05,1
30,3_3_right,0.8888564594759473,35.628072129387846,1.6955301984376545,7.280465949820788e-05,1
31,3_5_right,0.9575521020546389,53.021179919736,0.8898203140421608,0.00023778292181069887,1
32,40_1_right,0.9877908834726965,28.886212388853707,1.1394120829472016,8.414664664664646e-05,1
33,40_2_right,0.9471374417146055,19.630600370372385,1.2835568050749773,0.00010729400486344967,1
34,40_3_right,0.9953980822477749,20.74770507387034,0.7167515532899998,3.517909356725139e-05,1
35,40_4_right,0.9525715479100508,22.457960390555957,0.7507717051661537,6.915509259259269e-05,1
36,40_5_right,0.9915477391052672,17.433083452442258,0.5228109459340113,4.7387711176088375e-05,1
37,40_6_right,0.9880745946385625,16.39441889798637,0.6072406590699229,3.1322337962963105e-05,1
38,42_1_right,0.9741197181293225,32.185407126984174,1.3597089947089926,3.92232510288065e-05,1
39,42_2_right,0.9436052752570723,22.487370173785035,4.123284057212595,4.825975529100532e-05,1
40,42_3_right,0.5755165427916423,12.624902025834713,3.0370099580053904,5.7962228101116966e-05,1
41,42_4_right,0.7019667181089658,17.10264995480809,2.3553030303030296,1.873480172091255e-05,1
42,42_5_right,0.6102864955020657,19.283623648424523,3.142108567564969,4.5048111837327545e-05,1
43,43_1_left,0.961421076340732,29.904114638556035,1.3094055107669347,0.0005282897079772079,1
44,43_3_left,0.9611955068946063,30.591712514382515,1.2703527332157944,0.00013730147247942363,1
45,43_5_left,0.9746201238962943,22.220175273960905,1.6822765197765226,9.014423076923056e-05,1
46,44_1_left,0.9286977069108454,29.52108405238533,1.0721128176067822,0.0009018735532407416,1
47,44_5_left,0.8561322871088102,11.989009340918205,0.6783775451261629,0.0031125685871056215,1
48,test_16_17_07,0.6913210046075351,34.80666637097116,1.8622533331934195,4.402463044184548e-05,1
49,test_16_17_53,0.9251881492102516,24.308706182127494,1.7759029754312792,2.6870961693780978e-05,1
50,test_16_19_15,0.7608532777495689,28.479513129334215,1.2417433878286406,3.368597592082443e-05,1
51,test_16_20_09,0.8412186570272996,30.195011540127584,0.8190769655977685,7.863077762722074e-05,1
52,test_16_25_48,0.8439040413018158,22.64215758458496,0.8420027068489455,0.00030025496511003796,1
53,test_16_26_04,0.8427215790325786,28.349667005031314,0.8254113299956032,5.475764590347932e-05,1
54,test_16_26_23,0.9719563518768418,51.71002859022763,0.973778056919007,0.00023289114434947832,1
55,test_16_32_05,0.8825278380435561,25.50542113217808,2.151269587657678,3.048315805517445e-05,1
56,test_16_32_17,0.8622555932667894,25.774206836459854,2.075437378466165,3.428863687846866e-05,1
57,test_16_32_36,0.9530665303874105,27.85150394365881,1.560445758389925,3.4289178634416636e-05,1
58,test_16_32_53,0.9521995610437555,25.742383164605823,0.7959714244089245,2.869100640725109e-05,1
59,test_16_33_44,0.9132835020097981,27.78556421393689,1.6273871621298108,3.329789333907557e-05,1
60,test_16_33_56,0.936302681646732,26.403751051402892,0.9705704603574208,3.406884707287932e-05,1
61,test_16_34_07,0.9591226747213716,30.427346294593345,0.43935755283103994,3.0781525573192256e-05,1
62,test_16_34_21,0.9404337363794577,26.974675420110774,1.05406920186332,3.346193415637867e-05,1
63,test_16_34_45,0.1902238836715858,43.906907134244626,1.8091060769426794,0.00011858697954490425,1
64,test_16_34_56,0.9322397262854237,25.144336397360174,0.8530063875394774,7.908950617283931e-05,1
65,test_16_35_06,0.5684820738270799,25.734901676259984,1.4360812585772222,9.692935027484914e-05,1
66,test_16_35_24,0.7847998220168394,31.326834872900754,1.6611963419600833,5.082126674546905e-05,1
67,test_16_35_35,0.8757843741339143,42.90182827459217,3.3505200503656973,0.0001917001514092708,1
68,test_16_36_05,0.27284184690886787,41.03767171720552,1.320544377902978,6.21117244381134e-05,1
69,test_16_36_12,0.6575997462387827,32.981504793676976,0.749156509464962,5.6809413580247006e-05,1
70,test_16_36_20,0.939368287461159,28.477974175378886,0.872034147234589,8.590681116722778e-05,1
71,test_16_36_26,0.9812630638164068,21.98847341671658,1.0317590278561535,3.978290275872562e-05,1
72,test_16_36_37,0.8729561387550702,27.193804235794786,0.8018159148199483,8.561307519640835e-05,1
73,test_16_36_59,0.5046298971779936,32.748729348336646,0.9601372708272268,0.0001265166028097064,1
74,test_16_37_33,0.9559426705432718,18.382063042183294,1.3502844580934006,0.00020871913580247002,1
75,test_16_37_49,0.9481420574816826,41.207324771558284,2.0983889721389706,6.284519168291094e-05,1
76,test_16_37_56,0.984346133059835,27.003000628548037,1.3167652873002433,4.311160610295831e-05,1
77,test_16_38_03,0.5500665272848101,35.15542910765664,1.6682534237913993,4.031391623691196e-05,1
78,test_17_00_02,0.3337784141453562,21.4042148303317,0.7283563898882406,3.518840020576124e-05,1
79,test_17_00_32,0.9530784721676723,23.754990933760713,0.5990983883841021,3.077233980011753e-05,1
80,test_17_01_00,0.9475396144103747,25.425527292094422,0.9174255677987029,3.023580714552938e-05,1
81,test_17_01_08,0.9904715894996231,15.84943611964424,0.5250899996175961,2.8833658219622805e-05,1
82,test_17_01_15,0.8157371333627211,33.99055577908786,0.8712100519174741,3.827636140706928e-05,1
83,test_17_01_41,0.9878992924242138,16.63159635637592,0.8172197996973679,3.337523946360166e-05,1
84,test_17_01_49,0.9788007015470572,22.798474749603045,0.8030742625506401,3.154502541757444e-05,1
85,test_17_02_57,0.9069346001089524,39.31477625192713,0.902688931398326,3.511090381426203e-05,1
86,test_17_03_05,0.9818005382003545,31.480874776542684,0.9990948739236434,4.192922668038424e-05,1
87,test_17_03_38,0.6567328522766357,24.590462914757254,0.5286434433299764,2.8333934583934715e-05,1
88,test_17_05_12,0.4862056784126131,16.837490309254775,0.949564759769381,7.759890572390649e-05,1
89,test_17_05_28,0.801680069156735,38.21672158362581,0.9086496950570716,7.581442477275819e-05,1
90,test_17_05_39,0.8836899872287003,31.22878034768465,1.3610088266975031,4.7687715037441894e-05,1
91,test_17_06_13,0.7349260242038754,37.97206386521288,0.6755674170758877,4.86991011479314e-05,1
92,test_17_06_20,0.42777451287508594,31.183368479916567,0.4235604265016036,3.738192106247676e-05,1
93,test_17_06_26,0.6672722757820949,26.267071117073908,0.5428926609803987,3.195519631653527e-05,1
94,test_17_07_17,0.816211408077088,30.00549991764258,1.1779081355228922,6.348861882716039e-05,1
95,test_17_07_33,0.9547268092017811,14.939876612565401,0.8750402894491155,6.631944444444434e-05,1
96,test_17_07_54,0.9098511350961899,30.706178216666306,0.8351193200636507,4.00453195811844e-05,1
